precision,recall,threshold
0.8269230769230769,0.7107438016528925,0.6904619758132674
0.8349514563106796,0.7107438016528925,0.6906215469613259
0.8431372549019608,0.7107438016528925,0.6916769852898318
0.8415841584158416,0.7024793388429752,0.6927958480317834
0.85,0.7024793388429752,0.6954724098391568
0.8484848484848485,0.6942148760330579,0.700140734949179
0.8469387755102041,0.6859504132231405,0.7007874455788375
0.845360824742268,0.6776859504132231,0.7048004900633441
0.84375,0.6694214876033058,0.7062037881133375
0.8421052631578947,0.6611570247933884,0.71
0.8494623655913979,0.6528925619834711,0.710940440615682
0.8478260869565217,0.6446280991735537,0.7126649390111757
0.8461538461538461,0.6363636363636364,0.7142580663595197
0.8444444444444444,0.628099173553719,0.7186573838833717
0.8539325842696629,0.628099173553719,0.72
0.8620689655172413,0.6198347107438017,0.7204477611940299
0.8604651162790697,0.6115702479338843,0.7206323675223092
0.8588235294117647,0.6033057851239669,0.7210932178785759
0.8571428571428571,0.5950413223140496,0.7225165315189404
0.8674698795180723,0.5950413223140496,0.73
0.8658536585365854,0.5867768595041323,0.7301658986175116
0.8641975308641975,0.5785123966942148,0.7304245262374721
0.8625,0.5702479338842975,0.730621546961326
0.8607594936708861,0.5619834710743802,0.7370694864048337
0.8589743589743589,0.5537190082644629,0.74
0.8701298701298701,0.5537190082644629,0.7423007072901453
0.868421052631579,0.5454545454545454,0.75
0.8666666666666667,0.5371900826446281,0.7501407349491791
0.8783783783783784,0.5371900826446281,0.7504715127701376
0.8767123287671232,0.5289256198347108,0.7511111111111112
0.875,0.5206611570247934,0.77
0.8732394366197183,0.512396694214876,0.7704715127701376
0.8714285714285714,0.5041322314049587,0.7781240981240981
0.8695652173913043,0.49586776859504134,0.7802675585284281
0.8676470588235294,0.48760330578512395,0.7803448275862069
0.8656716417910447,0.4793388429752066,0.7831782796874307
0.8636363636363636,0.47107438016528924,0.7843959482499246
0.8615384615384616,0.4628099173553719,0.79
0.859375,0.45454545454545453,0.790553562275756
0.873015873015873,0.45454545454545453,0.7905825242718447
0.8709677419354839,0.4462809917355372,0.8
0.8833333333333333,0.4380165289256198,0.8011036462205325
0.8983050847457628,0.4380165289256198,0.8016540151040452
0.896551724137931,0.4297520661157025,0.81
0.8947368421052632,0.4214876033057851,0.8103578528827038
0.8928571428571429,0.4132231404958678,0.8110763883441493
0.8909090909090909,0.4049586776859504,0.8119834710743803
0.8888888888888888,0.39669421487603307,0.82
0.8867924528301887,0.3884297520661157,0.8210018552875695
0.8846153846153846,0.38016528925619836,0.8211009174311927
0.8823529411764706,0.371900826446281,0.821587897478538
0.88,0.36363636363636365,0.8231501166709877
0.8775510204081632,0.35537190082644626,0.83
0.8666666666666667,0.32231404958677684,0.830122199592668
0.8636363636363636,0.3140495867768595,0.8354175744371822
0.8604651162790697,0.30578512396694213,0.84
0.85,0.2809917355371901,0.8437998266487567
0.8461538461538461,0.2727272727272727,0.85
0.8235294117647058,0.23140495867768596,0.8501407349491791
0.8181818181818182,0.2231404958677686,0.86
0.8125,0.21487603305785125,0.8601234567901234
0.8064516129032258,0.2066115702479339,0.860344827586207
0.8,0.19834710743801653,0.8604477611940298
0.7931034482758621,0.19008264462809918,0.8622949798027619
0.7857142857142857,0.18181818181818182,0.87
0.8461538461538461,0.18181818181818182,0.88
0.84,0.17355371900826447,0.89
0.8571428571428571,0.1487603305785124,0.9
0.8333333333333334,0.12396694214876033,0.9002675585284281
0.8235294117647058,0.11570247933884298,0.9015652173913044
0.8125,0.10743801652892562,0.91
0.75,0.0743801652892562,0.9101407349491791
0.7272727272727273,0.06611570247933884,0.92
0.7,0.05785123966942149,0.93
0.625,0.04132231404958678,0.9305034965034964
0.5714285714285714,0.03305785123966942,0.9308897676717746
0.6666666666666666,0.03305785123966942,0.94
0.75,0.024793388429752067,0.96
0.6666666666666666,0.01652892561983471,0.97
0.5,0.008264462809917356,0.98
0.0,0.0,1.0
